"cd_area_estera","cd_gruppo_inquadramento","dt_inizio_validita","dt_fine_validita","im_rimborso","utcr","dacr","utuv","duva","pg_ver_rec"
"A","1","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"B","1","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"C","1","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"D","1","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","125.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"E","1","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","130.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"F","1","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","140.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"G","1","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","155.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"A","2","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"B","2","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"C","2","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"D","2","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","125.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"E","2","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","130.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"F","2","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","140.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"G","2","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","155.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"A","3","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"B","3","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"C","3","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"D","3","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","125.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"E","3","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","130.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"F","3","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","140.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"G","3","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","155.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"A","4","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"B","4","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"C","4","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"D","4","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","125.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"E","4","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","130.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"F","4","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","140.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"G","4","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","155.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"A","5","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"B","5","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"C","5","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"D","5","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","125.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"E","5","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","130.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"F","5","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","140.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"G","5","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","155.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"A","6","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"B","6","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"C","6","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"D","6","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","125.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"E","6","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","130.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"F","6","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","140.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"G","6","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","155.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"A","7","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"B","7","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"C","7","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"D","7","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","125.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"E","7","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","130.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"F","7","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","140.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"G","7","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","155.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"A","8","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"B","8","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"C","8","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","120.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"D","8","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","125.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"E","8","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","130.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"F","8","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","140.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
"G","8","2011-06-09T00:00:00.000","2050-12-31T00:00:00.000","155.00","CED","2011-09-23T15:00:37.000","CED","2011-09-23T15:00:37.000","1"
